AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
30000,1260,1370,44600,77.2,0,6.5,16,2,rural,2,3,0.1,3.2,0,1.5,90,74.4,29.9,15.5,1271,19
59000,2330,1750,104700,41,8,9.5,4,2,urban,2,2,0.1,0,0,1,47.3,76.1,28.6,15.6,1328.6,55
104000,2750,1710,138100,69,11,0,10,2,urban,3,2,0,0,0,0,77,76.1,28.6,15.6,1328.6,11
4200,210,260,4700,42.7,0,9,8,2,rural,2,2,0.2,1.7,0,0,56.2,78.3,8.3,17.4,1538.4,6
4200,210,260,1000,66.5,0,5.5,8,2,rural,2,2,0.2,0,0,0,77.5,78.3,8.3,17.4,1538.4,6
17000,910,1240,28300,37.5,0,9,8,2,rural,2,2,0.2,1,0,2.5,52,78.3,8.3,17.4,1538.4,39
31000,1420,1550,41200,50,0,8,8,2,urban,2,2,0.2,1,0,1.5,96,78.3,8.3,17.4,1538.4,39
47000,1180,830,70900,53,0,8,8,2,urban,2,2,0.2,3,0,2.5,77.5,78.3,8.3,17.4,1538.4,39
5400,280,470,5400,62.4,0,8,12,3,rural,2,2,0.1,4,0,1.5,75.7,78.3,8.3,17.4,1538.4,57
27000,1250,650,42700,84.5,0,10,8,3,urban,2,2,0.1,22.2,0,0,99,77,3.6,18.3,1557.4,12
45000,2390,1570,72900,56.8,0,10,10,2,urban,2,2,0.1,4,0,0,60.2,77,3.6,18.3,1557.4,12
33000,1250,610,37700,48,0,8,8,2,urban,2,2,0.2,3,0,0,49.5,77,3.6,18.3,1557.4,11
15000,580,290,37700,94,0,8,8,2,urban,2,2,0.1,1,0,0,106,77,3.6,18.3,1557.4,11
39000,680,1120,50900,44,0,10,12,2,urban,2,2,0.1,0,0,1.5,52,76.3,98.4,12.4,1468.6,51
19000,600,400,26000,52.2,0,10,14,3,rural,2,2,0.1,0,0,1.5,52.7,75.7,68.4,14,1488.8,46
18000,530,360,25100,84,0,6.5,12,3,rural,2,2,0.2,8.5,0,4.5,95,75.7,68.4,14,1488.8,38
39000,1500,1330,50400,57,0,6.5,12,2,urban,2,2,0.2,2,0,4.5,60.5,76.9,123,11.9,1492.5,48
4700,160,70,6000,142,0,8.5,12,3,urban,2,2,0.1,0,0,1.5,241,76.9,123,11.9,1492.5,55
19000,610,230,22600,49,0,7.5,10,3,urban,2,2,0.1,0.5,0,1.5,63,76.3,98.4,12.4,1468.6,36
45000,710,3050,57600,117.8,9,1,4,2,urban,7,2,0.1,0.5,0,1,119.6,74.2,49.8,14.6,1219.1,54
8900,350,350,8500,67,0,10,7,4,rural,2,3,0.1,0,0,2,68,74,65.2,13.6,1310.7,21
8600,460,460,16800,55.5,0,7.5,10,3,rural,2,2,0.2,7.2,0,0,57.8,74.4,29.9,15.5,1271,15
12000,730,510,34700,61.3,0,8,8,2,rural,2,2,0.2,2.4,0,0,63.7,74.4,29.9,15.5,1271,16
16000,720,800,34700,71.6,0,8,8,2,rural,2,2,0.3,6.1,0,0,78.3,74.4,29.9,15.5,1271,16
12000,820,740,62500,65.9,0,6.7,9.3,2,rural,2,2,0.3,4.8,0,0,70,74.4,29.9,15.5,1271,16
24000,1090,1920,43000,55.8,0,11.5,8,2,urban,2,2,0.2,34,0,1,60,77.2,35.2,15.4,1361.1,28
38000,1040,330,37400,68,0,9,14,3,urban,2,2,0.1,0,0,4,84,76.3,98.4,12.4,1468.6,51
34000,1040,1760,39000,45.7,0,10.5,8,2,urban,2,2,0.2,37.7,0,2,48,76.1,37.6,15.3,1328.6,33
20000,930,800,24000,63,0,9.5,10,3,rural,2,2,0.2,7,0,6.5,81,73.9,32.8,15.4,1242.1,28
11000,430,89,18600,53.4,0,8,10,3,small urban,2,2,0.1,0,0,4,54.5,74.8,41,14.4,1427.3,37
5700,340,250,7100,62,0,5.5,8,2,rural,2,2,0.3,0,0,0,67.5,78.5,6.1,17.4,1464.5,12
5500,300,290,5900,58.5,0,5.5,8,2,rural,2,2,0.3,5.7,0,0,60.6,77.8,17.3,16.2,1406.7,13
10000,520,950,13600,70,0,7,8,2,rural,2,2,0.2,0,0,1.5,89,78.3,8.3,17.4,1538.4,39
27000,1370,2030,25700,60.7,0,10,10,3,rural,2,2,0.3,4.7,0,1.5,61.3,76.6,28.5,15.8,1382.6,47
10000,520,950,13600,56.1,0,8,8,2,rural,2,2,0.2,1.5,0,1.5,62.8,78.1,18.3,16.6,1509.4,39
11000,640,1050,14200,61.7,0,7,15,3,rural,2,3,0.2,0.7,0,0,68,73.9,36.5,15.2,1178.3,9
33000,1350,2120,49000,60.7,0,6,10,2,rural,2,2,0.2,0.2,0,2,68.7,73.6,37.4,14.9,1257.3,33
33000,1350,2120,47600,41,0,6,10,2,urban,2,2,0.1,0,0,2,54,73.6,37.4,14.9,1257.3,33
36000,1450,2280,50400,61.3,8,3.5,6.7,2,urban,7,3,0.1,0,0,2,77,73.6,37.4,14.9,1257.3,33
9300,550,1340,10200,38.3,0,9.3,16,2,rural,2,3,0.1,0,0,1.5,41.9,73.2,20.9,16.3,1268,17
9800,580,1410,10300,38.6,0,9.5,16,2,rural,2,3,0.1,0,0,1.5,43.6,73.2,20.9,16.3,1268,17
9800,580,1410,10300,40.8,0,12,16,2,small urban,2,3,0.2,0,0,1.5,41.5,73.2,20.9,16.3,1268,16
19000,930,2600,21400,48.5,0,6,8,2,rural,2,2,0.1,0,0,1.5,72,73.2,20.9,16.3,1268,48
14000,580,1540,17000,47.1,0,6.1,8,2,rural,2,2,0.2,6.4,0,3,51.6,75.2,14.3,16.9,1306.1,33
20000,780,1630,19700,53.3,0,11.2,8,2,rural,2,2,0.2,7,0,3,56.3,74.6,54,14,1345,14
22000,1090,3050,21500,39.5,0,10.5,8,2,rural,2,2,0.1,0,0,1.5,39.7,74.2,21.3,16.2,1323.6,48
23000,900,2510,28000,47,0,10,8,2,small urban,2,2,0.1,0,0,1.5,52,74.2,21.3,16.2,1323.6,48
17000,730,1980,19000,32,0,5.5,8,2,small urban,2,2,0.2,0,0,1.5,38.5,74.2,21.3,16.2,1323.6,33
13000,650,1000,17100,81.5,0,6.5,13,2,small urban,2,2,0.4,4,0,2.5,83,76.6,28.5,15.8,1382.6,27
15000,630,960,10600,67,0,5.5,15,3,urban,2,3,0.3,20,0,2.5,67.5,76.6,28.5,15.8,1382.6,29
3000,150,390,7400,47.2,0,5,8,3,rural,2,2,0.1,0,0,1.5,49.5,76.8,39,15.3,1381.9,23
13000,590,2700,21800,70,0,12.5,10,3,small urban,2,2,0.3,35,0,4,78,73.2,20.9,16.3,1268,46
12000,500,390,15500,47,0,15,8,3,urban,2,2,0.2,0,0,1.5,58,76.1,37.6,15.3,1328.6,59
29000,1230,3080,37900,54.6,0,7,8,2,rural,2,2,0.1,0.1,0,1.5,57.4,73.6,37.4,14.9,1257.3,19
29000,1230,3080,37900,56.5,0,7,8,2,urban,2,2,0.1,0,0,1.5,63.5,73.6,37.4,14.9,1257.3,19
32000,1370,3150,35900,62,0,7,8,2,urban,2,2,0.1,0,0,1.5,66.6,73.6,37.4,14.9,1257.3,19
46000,1320,1830,50800,56,0,7,8,2,urban,2,2,0.1,0,0,1.5,82,73.6,37.4,14.9,1257.3,41
45000,1590,2570,56800,49,0,13,8,2,urban,2,2,0.2,0,0,5,57,73.6,37.4,14.9,1257.3,27
38000,1800,3490,47900,46.8,0,13,8,2,rural,2,2,0.1,0,0,5,48.6,73.6,37.4,14.9,1257.3,27
27000,1090,1370,37200,57.5,0,5.5,12,2,small urban,2,2,0.1,0,0,1.5,71.7,74,65.2,13.6,1310.7,49
8800,330,250,15100,79.9,0,9.1,12,3,rural,2,2,0.1,3.7,0,1.6,81,74,65.2,13.6,1310.7,36
4700,220,490,700,45.5,0,12,7,3,rural,2,3,0.1,0,0,0,62,75.1,56.1,14.5,1225.7,1
6600,760,550,2300,35.2,0,8.5,8,2,urban,2,2,0.2,0,0,0,38.8,76.6,28.5,15.8,1382.6,6
6600,760,550,22300,31,0,8.5,8,2,urban,2,2,0.1,0,0,0,47.5,76.6,28.5,15.8,1382.6,6
15000,710,320,17000,65.7,0,7,11,3,rural,2,2,0.1,0,0,1.5,71.5,76.2,134.4,12,1478,46
26000,430,96,27500,93.5,0,7,8,3,urban,2,2,0.1,11,0,0,110,78.3,8.3,17.4,1538.4,58
40000,1120,360,57200,68,0,7,12,3,urban,2,2,0.2,10,0,1.5,121,76.1,28.6,15.6,1328.6,53
23000,670,210,58700,101.7,0,6.5,10,4,urban,2,2,0.1,15.7,0,1.5,106.7,73.9,36.5,15.2,1178.3,44
3600,150,83,6300,88,0,3,6,5,rural,2,3,0.1,6.5,0,1.5,102.5,,,,,81
22000,550,330,37600,57.5,0,9.5,10,3,urban,2,2,0.3,0,0,3,66.8,78.2,27.3,15.9,1427.6,46
22000,550,330,36200,59.8,0,9.5,10,3,urban,2,2,0.2,0.2,0,3,63,78.2,27.3,15.9,1427.6,46
29000,1460,1790,33700,38,0,7,15,3,rural,2,3,0.1,3,0,0,40,73.6,37.4,14.9,1257.3,6
27000,1330,1630,31500,44.7,0,7,15,3,rural,2,3,0.1,2.3,0,0,46.7,73.6,37.4,14.9,1257.3,6
26000,1280,940,35900,111,0,6,8,4,rural,2,2,0.2,5,0,1.5,117,73.9,25.5,15.9,1204.9,16
21000,1100,720,30200,72,0,10,10,2,urban,2,2,0.1,1,0,0,92,77,3.6,18.3,1557.4,12
32000,1200,540,58400,39,0,4.5,8,3,urban,2,2,0.1,0,0,1.5,88,77,3.6,18.3,1557.4,44
36000,1360,550,42200,121,0,7,13,3,rural,2,3,0.2,7.5,0,0,124.5,73.9,25.5,15.9,1204.9,16
4900,250,300,5200,83.5,0,10.5,12,3,rural,2,2,0.2,22.5,0,3,84.7,73.9,32.8,15.4,1242.1,57
39000,1640,1230,42200,50,0,8,11,3,urban,2,2,0.2,0,0,3,74.5,74.2,49.8,14.6,1219.1,35
11000,560,180,14600,67,0,5,10,3,rural,2,2,0.1,0,0,1.5,69,73.6,37.4,14.9,1257.3,50
15000,400,150,26800,57.3,0,10.5,15,2,urban,2,3,0.1,0.7,0,0,64.2,75.1,39.5,15.1,1277.7,6
2000,47,69,3000,50,0,7,8,2,small urban,2,2,0.1,0,0,1.5,87.5,78.2,27.3,15.9,1427.6,16
5200,120,180,11300,54.3,0,7,8,2,small urban,2,2,0.1,0,0,1.5,78.7,78.2,27.3,15.9,1427.6,16
4800,160,280,4700,33,0,9,10,2,small urban,2,2,0.2,0,0,0,47.2,78.2,27.3,15.9,1427.6,3
5300,180,34,8900,86.5,0,7.5,10,5,rural,2,2,0.1,4.8,0,1.5,98,76.2,134.4,12,1478,40
120,9,2,700,175,0,0.5,8,5,rural,2,2,0.2,2,0,0,178.8,74.8,41,14.4,1427.3,9
16000,670,760,23000,60,0,5.5,15,2,small urban,2,3,0.1,6,0,0,67,74.4,29.9,15.5,1271,4
50418,1901,1034,52435,108.7,0,5,23,2,urban,7,2,0.1,0,0,2,118.4,77.5,246.4,10.9,1398.2,21
52114,1991,771,57847,83,8,4,8,3,urban,7,2,0.1,0,0,2,102,77.5,246.4,10.9,1398.2,79
56639,2164,838,62869,52,9,4,9,3,urban,7,2,0,0,0,3,79,77.4,181.5,11.5,1387.7,81
